package_id,phase,target_id,target_label,verifier_count,first_observed_value,final_observed_value,wrap_observed,selector_boundary_confirmed,evidence_reference,status,notes
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-head-template,Head Template,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-skin-tone,Skin Tone,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-skin-details,Skin Details,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-eye-shape,Eye Shape,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-eye-color,Eye Color,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-nose,Nose,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-ear-shape,Ear Shape,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-mouth-shape,Mouth Shape,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-jaw-shape,Jaw Shape,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-head-skin-chin,Chin,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-appearance-head-skin,Head & Skin,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-appearance-hair,Hair,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,cf27-menu-player-appearance,Appearance,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-ear-shape,Ear Shape,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-eye-color,Eye Color,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-eye-shape,Eye Shape,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-nose,Nose,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-skin-details,Skin Details,,,,,,,NOT_VERIFIED,
CF27_XBOX_RTG_SECOND_VERIFIER_EXECUTION_v1,BLIND_INDEPENDENT_COUNTS,category-skin-tone,Skin Tone,,,,,,,NOT_VERIFIED,
