queue_id,candidate_id,primary_decision,review_status,production_status
SECOND_VERIFIER_CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
SECOND_VERIFIER_CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
SECOND_VERIFIER_CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
SECOND_VERIFIER_CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
SECOND_VERIFIER_CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
SECOND_VERIFIER_CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
SECOND_VERIFIER_CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
SECOND_VERIFIER_FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_3,FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_3,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
SECOND_VERIFIER_FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_9,FC26_RESEARCH_FC26_HEAD_SKIN_TONE_SKIN_TONE_9,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
SECOND_VERIFIER_FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_3,FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_3,NEEDS_PRIMARY_REVIEW,BLOCKED_UNTIL_PRIMARY_REVIEW_AND_REAL_SECOND_HUMAN,NOT_PRODUCTION_DATA
